GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
aplicacion-cinenova,com.cinenova.consultas,consultasSala,24,45,0,2,5,11,1,2,1,1
aplicacion-cinenova,com.cinenova.consultas,consultasPelicula,192,51,0,2,50,11,4,2,4,1
aplicacion-cinenova,com.cinenova.consultas,consultasPersona,293,310,0,6,70,73,4,10,4,7
aplicacion-cinenova,com.cinenova.consultas,consultasSesion,229,191,2,20,59,43,5,12,4,2
aplicacion-cinenova,com.cinenova.consultas,consultasEntrada,112,252,3,11,28,55,4,8,2,3
aplicacion-cinenova,com.cinenova.entidades,Empleado,0,37,0,0,0,11,0,6,0,6
aplicacion-cinenova,com.cinenova.entidades,Persona,0,169,0,10,0,47,0,22,0,17
aplicacion-cinenova,com.cinenova.entidades,Sala,0,53,0,0,0,19,0,10,0,10
aplicacion-cinenova,com.cinenova.entidades,ordenarSesionesPorFecha,0,15,0,0,0,4,0,2,0,2
aplicacion-cinenova,com.cinenova.entidades,Sesión,0,64,0,0,0,20,0,10,0,10
aplicacion-cinenova,com.cinenova.entidades,Película,0,75,0,0,0,27,0,14,0,14
aplicacion-cinenova,com.cinenova.entidades,Cliente,19,221,1,21,4,62,2,24,1,14
aplicacion-cinenova,com.cinenova.entidades,Entrada,20,226,5,13,1,45,6,14,1,10
aplicacion-cinenova,com.cinenova.entidades,Jefe,0,15,0,0,0,3,0,2,0,2
aplicacion-cinenova,com.cinenova.autenticación,autenticaciónEmpleado,3,32,1,5,1,6,2,3,1,1
aplicacion-cinenova,com.cinenova.autenticación,autenticaciónJefe,3,32,1,5,1,6,2,3,1,1
aplicacion-cinenova,com.cinenova.autenticación,autenticaciónCliente,3,32,1,5,1,6,2,3,1,1
